index,Member ID,Member first name,Member last name,Transfer date,Amount,Reference number,Partner code
1,2153642985,Amy,NG,2021-04-08,750,54482745f39946c48b004da8c84adaea,ABCSG
2,2153642985,Amy,NG,2021-04-08,750,70829229442d4247b26114e4f6c55cdb,ABCSG
3,2153642985,Amy,NG,2021-04-08,750,1c7fb612aa0342b28bdedd4ad28f7a0a,ABCSG
4,2153642985,Amy,NG,2021-04-08,750,174c19696acb4706b5d1a78d9d267111,ABCSG
5,2153642985,Amy,NG,2021-04-08,750,1b5605657b1a44079e1b84bddbed4611,ABCSG
6,2153642985,Amy,NG,2021-04-08,750,ced8ae3f02e84d3991b006856cdf24e4,ABCSG
7,2153642985,Amy,NG,2021-04-08,750,72fd8f3a9a3b49ba8fd21ac220d60b69,ABCSG
8,2153642985,Amy,NG,2021-04-08,750,30084f775bb048e9a1488e7abccdb292,ABCSG
9,2153642985,Amy,NG,2021-04-08,750,be9862e16fa54030a31df588912ef308,ABCSG
10,2153642985,Amy,NG,2021-04-08,750,d4b72055c6bb4d9ba6423890719ab46a,ABCSG
11,2153642985,Amy,NG,2021-04-08,75,5d3ac48a8c8f4d9f956ae745e5c17f88,ABCSG
12,2153642985,Amy,NG,2021-04-08,750,af8e0ed3cd49464c855211292b3bebbc,ABCSG
13,2153642985,Amy,NG,2021-04-08,750,81fd7f6042274ecd950baf83e4afb2a9,ABCSG
14,2153642985,Amy,NG,2021-04-08,750,b3e7ba57bd284ea4902640dcc5adc246,ABCSG
15,2153642985,Amy,NG,2021-04-08,750,f30de18e177d40e8addc09c53c23763b,ABCSG
16,2153642985,Amy,NG,2021-04-08,750,36ce2dcc30c1464aaef58fe7f7893a3e,ABCSG
17,2153642985,Amy,NG,2021-04-08,750,22229fd7792145ca9e4d7bdbd30cb5d4,ABCSG
18,2153642985,Amy,NG,2021-04-08,750,7bbb7b403a7345c6a12da900521a90bc,ABCSG
19,2153642985,Amy,NG,2021-04-08,750,7f85d46ff5ab44e895e1c2855cd8443c,ABCSG
20,2153642985,Amy,NG,2021-04-08,750,fc61551d8cef4f9a9f92019be3d010d7,ABCSG
21,2153642985,Amy,NG,2021-04-08,750,63fe22a9782c496588eccbd74f097176,ABCSG
22,2153642985,Amy,NG,2021-04-08,750,8d92e580fa2a4cf8840b83311411c69a,ABCSG
23,2153642985,Amy,NG,2021-04-08,750,c9dfdb464d3b47f6ab06fe2cd8e2f460,ABCSG
24,2153642985,Amy,NG,2021-04-08,750,fa6bb32493a44d36a71bb8aed0a71a14,ABCSG
